EBELN,EBELP,MATNR,TXZ01,MENGE,MEINS,NETPR,NETWR,WERKS,LIFNR,WAERS,BEDAT,MATKL
4500000001,10,MAT-DIESEL-001,Diesel Kraftstoff,850.000,L,1.45,1232.50,1000,VEND-001,EUR,01.01.2024,DIESEL
4500000002,10,MAT-DIESEL-002,Heizoel Schwer,1200.000,L,1.38,1656.00,1000,VEND-002,EUR,15.01.2024,DIESEL
4500000003,10,MAT-LUB-001,Hydraulikoel HLP 46,340.000,L,3.20,1088.00,1000,VEND-003,EUR,20.01.2024,LUBRICANTS
4500000004,10,MAT-DIESEL-003,Dieselkraftstoff EN590,760.000,L,1.47,1117.20,1000,VEND-001,EUR,28.01.2024,DIESEL
4500000005,10,MAT-CHEM-001,Reinigungsmittel Industrial,45.000,L,12.50,562.50,1000,VEND-004,EUR,31.01.2024,CHEMICALS
4500000006,10,MAT-LUB-002,Motoroel 15W40,210.000,KG,2.80,588.00,IN_MUM,VEND-005,INR,20240201,LUBRICANTS
4500000007,10,MAT-DIESEL-004,HSD High Speed Diesel,1540.000,KG,1.02,1570.80,IN_MUM,VEND-006,INR,20240210,DIESEL
4500000008,10,MAT-LUB-003,Compressor Oil 100,180.000,KG,3.15,567.00,IN_MUM,VEND-005,INR,20240215,LUBRICANTS
4500000009,10,MAT-CHEM-002,Cooling Water Treatment,95.000,KG,8.40,798.00,IN_MUM,VEND-007,INR,20240220,CHEMICALS
4500000010,10,MAT-DIESEL-005,Marine Diesel Oil,2200.000,KG,0.95,2090.00,IN_MUM,VEND-008,INR,20240229,DIESEL
4500000011,10,MAT-DIESEL-006,Dieselkraftstoff B7,1.800,TO,1450.00,2610.00,DE01,VEND-009,EUR,05.03.2024,DIESEL
4500000012,10,MAT-LUB-004,Getriebeoel CLP 220,0.420,TO,2800.00,1176.00,DE01,VEND-010,EUR,12.03.2024,LUBRICANTS
4500000013,10,MAT-CHEM-003,Loesungsmittel MEK,0.650,TO,3200.00,2080.00,DE01,VEND-011,EUR,18.03.2024,CHEMICALS
4500000014,10,MAT-DIESEL-007,Kerosin Jet A-1,2.100,TO,1680.00,3528.00,DE01,VEND-012,EUR,22.03.2024,DIESEL
4500000015,10,MAT-LUB-005,Hydraulikoel HVLP 68,0.380,TO,3100.00,1178.00,DE01,VEND-009,EUR,29.03.2024,LUBRICANTS
4500000016,10,MAT-DIESEL-008,Diesel Industrial Grade,500000.000,L,1.40,700000.00,1000,VEND-001,EUR,05.04.2024,DIESEL
4500000017,10,MAT-DIESEL-009,Bunker Fuel Heavy,500000.000,L,0.85,425000.00,IN_MUM,VEND-006,INR,10.04.2024,DIESEL
4500000018,10,MAT-LUB-006,Turbine Oil VG 46,500000.000,KG,2.90,1450000.00,DE01,VEND-010,EUR,15.04.2024,LUBRICANTS
4500000019,10,MAT-DIESEL-010,Diesel Kraftstoff,900.000,XX,1.45,1305.00,1000,VEND-001,EUR,99.99.2024,DIESEL
4500000020,10,MAT-CHEM-004,Industriereiniger,120.000,FASS,15.00,1800.00,IN_MUM,VEND-007,INR,INVALID-DATE,CHEMICALS
